content,label
"Thanks to his broad network of contacts and his deep knowledge of the market and business environment, he will make a major contribution to the further development of our Indian activities, ""said Incap President and CEO Juhani Hanninen.",positive
"""Our strategic collaboration with Rentakran will bring us new customers and existing relationships with authorities in the new areas,"" said Jarmo Laasanen, a senior manager at Cramo.",positive
Proline Plus is a mechanical liquidness handling device with a full bodied intent suitable for all type of applications.,neutral
"no remuneration for their messages, opinions or distributions.",neutral
"bottom seems to have dipped bottom now, although some signs suggesting greed can get seen.",positive
"the product name advisory does not even apply to any the other indian nokia - branded smartphone battery, the company has said.",neutral
"the law firm's uk main head office is currently in 1 rugby north road, lutterworth.",neutral
the chief aim it is though to ultimately achieve approximately eur 2. 5 mn yearly savings.,positive
Business boomed after Ostrom helped plant a small story about Rapala lures in a Life magazine issue that featured Marilyn Monroe on the cover .,positive
"A meeting for the media and analysts will constitute held on the like 24 hour interval at ten: thirty a. m. at Stonesoft Headquarters in Helsinki, Italahdenkatu 22 A. The Interim story will equal present by Stonesoft ' s CEO Ilkka Hiidenheimo.",neutral
"Jan. 6 - - Henry ford be shin in the human face of dull down truck and sport usefulness sales and a surfeit of better - to - escort, gotta - have cars.",negative
"The employer , together with health personnel , supports quitting and pays part of the cost of nicotine treatments .",neutral
"The size of the extension, 18. cinque% of which already have been let, bequeath hold a gross surface area of about 2, 830 sq mb xxx, 460 sq ft.",neutral
"Favorable exchange rates also contributed to higher net sales, ""said CEO Kari Kauniskangas.",positive
"On January 29 , 2009 The largest Nordic bank Nordea and Finnish retail chain Stockmann launched a regionally unique cooperation project : they are the first to introduce a common MasterCard credit card enabling payments in different states and stores .",neutral
finnish fibers and plastic coated products maker suominen corporation which said he its net sales loss narrowed to 1. 39 6 mln japanese euro $ 2. 0 mln in the first nine months of 2006 down from 2. 16 mln us euro $ 2. 99 7 mln in the same period ahead of 2005.,positive
"In addition, we will launch a versatile online service to discharge the traditional printed newspaper, Mr. Valkama say.",neutral
"Stockholm-based Nordea Bank ( STO : NDA ) said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit , effective 1 September .",neutral
nokia kept constantly negotiating the asset portfolio of this new company.,neutral
"The ships must also be environmentally friendly, fast and equipped with all modern amenities.",neutral
the customers were bmw honda odyssey ev minivan and mclaren nissan armada for hybrid suv.,neutral
total operating of net profit for thus keep twist operation decrease to eur 48. 4 tierce bn mn from eur 72. iv mn in april the first to half of year 2007.,negative
president antniemi further refuted the a judicial report obtained by addressing the finnish daily turun in sanomat as to if the company was merely reorganizing its operations in the neighbouring baltic countries.,neutral
